item_text,item_title,item_model,item_picture,item_page
캐주얼,오렌지 포인트!,모델 : 박준성,https://image.msscdn.net/images/style/list/l_3_2023020913400200000026934.jpg,https://www.musinsa.com/app/styles/views/31526
스트릿,힙 무드,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014591300000015537.jpg,https://www.musinsa.com/app/styles/views/31374
스트릿,쿨한 매력,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014564100000072347.jpg,https://www.musinsa.com/app/styles/views/31373
캐주얼,완벽 매치,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014530800000083548.jpg,https://www.musinsa.com/app/styles/views/31372
걸리시,유니크 걸리시,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014494500000023244.jpg,https://www.musinsa.com/app/styles/views/31371
캐주얼,손쉽게 멋내기,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014464000000074701.jpg,https://www.musinsa.com/app/styles/views/31370
캐주얼,탐나는 셋업,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014434600000053910.jpg,https://www.musinsa.com/app/styles/views/31369
스트릿,스트릿 그 자체,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014395900000079323.jpg,https://www.musinsa.com/app/styles/views/31368
스트릿,디테일에 주목,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014363700000064236.jpg,https://www.musinsa.com/app/styles/views/31367
캐주얼,캐주얼 끝판왕,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014315200000004491.jpg,https://www.musinsa.com/app/styles/views/31366
스트릿,모노톤 러버,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014285900000092415.jpg,https://www.musinsa.com/app/styles/views/31365
캐주얼,스타일리시,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014234100000072150.jpg,https://www.musinsa.com/app/styles/views/31364
캐주얼,포인트 코디,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014202000000080496.jpg,https://www.musinsa.com/app/styles/views/31363
캐주얼,믹스매치 룩,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013014053800000060602.jpg,https://www.musinsa.com/app/styles/views/31362
캐주얼,데일리 스타일링,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013013574400000035811.jpg,https://www.musinsa.com/app/styles/views/31361
캐주얼,캠퍼스 코디,모델 : 손세정,https://image.msscdn.net/images/style/list/l_3_2023013013544600000066892.jpg,https://www.musinsa.com/app/styles/views/31360
걸리시,워너비 룩,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817321400000062833.jpg,https://www.musinsa.com/app/styles/views/31525
걸리시,돋보이는 라인,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817314000000071258.jpg,https://www.musinsa.com/app/styles/views/31524
스트릿,개성 넘쳐,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817310000000037734.jpg,https://www.musinsa.com/app/styles/views/31523
포멀,깔끔한 매치,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817301000000002514.jpg,https://www.musinsa.com/app/styles/views/31522
캐주얼,편한 캠퍼스 룩,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817272900000082492.jpg,https://www.musinsa.com/app/styles/views/31521
캐주얼,멋스럽게!,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817263000000092898.jpg,https://www.musinsa.com/app/styles/views/31520
스트릿,유니크 그 자체,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817252700000054510.jpg,https://www.musinsa.com/app/styles/views/31519
캐주얼,와이드 핏 활용법,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817243400000076899.jpg,https://www.musinsa.com/app/styles/views/31518
걸리시,센스를 더해,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817234500000082401.jpg,https://www.musinsa.com/app/styles/views/31517
캐주얼,뉴트럴 캐주얼 룩,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817230500000066807.jpg,https://www.musinsa.com/app/styles/views/31516
캐주얼,남다른 캠퍼스 룩,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817221100000091954.jpg,https://www.musinsa.com/app/styles/views/31515
걸리시,빈티지 감성,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817212600000039006.jpg,https://www.musinsa.com/app/styles/views/31514
캐주얼,편하게 입기 좋아,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817203500000015910.jpg,https://www.musinsa.com/app/styles/views/31513
걸리시,포근한 마무리,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817194300000000489.jpg,https://www.musinsa.com/app/styles/views/31512
시크,무심한 멋,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817185400000079667.jpg,https://www.musinsa.com/app/styles/views/31511
걸리시,감각적 레이어드,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817175800000033419.jpg,https://www.musinsa.com/app/styles/views/31510
캐주얼,꾸안꾸 패션,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817134500000081790.jpg,https://www.musinsa.com/app/styles/views/31509
스트릿,패턴 포인트,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817104200000066846.jpg,https://www.musinsa.com/app/styles/views/31508
걸리시,디테일에 집중!,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817055200000056553.jpg,https://www.musinsa.com/app/styles/views/31507
골프,산뜻한 라운딩 룩,모델 : 이시은,https://image.msscdn.net/images/style/list/l_3_2023020817011100000057745.jpg,https://www.musinsa.com/app/styles/views/31506
스트릿,패턴으로 완성,모델 : 김예슬,https://image.msscdn.net/images/style/list/l_3_2023020814211900000003229.jpg,https://www.musinsa.com/app/styles/views/31505
캐주얼,트렌드 아이템,모델 : 김예슬,https://image.msscdn.net/images/style/list/l_3_2023020814165300000041066.jpg,https://www.musinsa.com/app/styles/views/31504
캐주얼,와이드 실루엣,모델 : 김예슬,https://image.msscdn.net/images/style/list/l_3_2023020814093500000033886.jpg,https://www.musinsa.com/app/styles/views/31503
걸리시,돋보이는 센스,모델 : 김예슬,https://image.msscdn.net/images/style/list/l_3_2023020814070700000028985.jpg,https://www.musinsa.com/app/styles/views/31502
걸리시,하이틴 룩 연출,모델 : 김예슬,https://image.msscdn.net/images/style/list/l_3_2023020814043700000080956.jpg,https://www.musinsa.com/app/styles/views/31501
